Nombre d'établissements au 31 décembre 2018 par secteur d'activité,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mandelieu-la-Napoule,France,Mandelieu-la-Napoule,France,,
Ensemble,12936,10237,79.1,8756,67.7,
15 à 24 ans,2001,1044,52.2,771,38.5,
25 à 54 ans,8075,7484,92.7,6450,79.9,
55 à 64 ans,2860,1708,59.7,1535,53.7,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des FEMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Mandelieu-la-Napoule,France,,,,
Salariées,3878,11694309,,,,
- Titulaires de la fonction publique et CDI,3338,9808156,,,,
- Contrat à durée déterminée,409,1331322,,,,
- Intérim,25,146036,,,,
- Emplois aidés,32,151061,,,,
- Apprentissage - Stage,73,257733,,,,
Non salariées,612,1282989,,,,
- Indépendants,442,860182,,,,
- Employeurs,166,391365,,,,
- Aides familiaux,4,31442,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des HOMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Mandelieu-la-Napoule,France,,,,
Salariés,3444,11636014,,,,
- Titulaires de la fonction publique et CDI,3120,9885223,,,,
- Contrat à durée déterminée,201,946141,,,,
- Intérim,57,347047,,,,
- Emplois aidés,6,86092,,,,
- Apprentissage - Stage,59,371511,,,,
Non salariés,953,2231297,,,,
- Indépendants,565,1189241,,,,
- Employeurs,385,1025072,,,,
- Aides familiaux,3,16984,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Chômage (au sens du recensement) des 15-64 ans,,,,,,
,,,,,,
Indicateurs,Mandelieu-la-Napoule,France,,,,
Nombre de chômeurs,1481,4265005,,,,
Taux de chômage (%),14.5,13.9,,,,
Taux de chômage des femmes (%),15.3,14.6,,,,
Taux de chômage des hommes (%),13.6,13.2,,,,
Part de femmes parmi les chômeurs (%),54.2,51.2,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Taux de chômage (au sens du recensement) par sexe et âge,,,,,,
,,,,,,
Catégories,Taux de chômage des femmes (%),,Taux de chômage des hommes (%),,,
,Mandelieu-la-Napoule,France,Mandelieu-la-Napoule,France,,
Ensemble,15.3,14.6,13.6,13.2,,
15 à 24 ans,24.3,28.9,28.2,28.2,,
25 à 54 ans,15.2,13.4,12.4,11.4,,
55 à 64 ans,10.4,11.3,9.9,11.1,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Emplois par catégorie socioprofessionnelle,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mandelieu-la-Napoule,France,Mandelieu-la-Napoule,France,,
Agriculteurs exploitants,25,423263,0.3,1.6,,
Artisans. commerçants et chefs d'entreprise,1115,1779591,13.8,6.7,,
Cadres et professions intellectuelles supérieures,1033,4777193,12.8,18.1,,
Professions intermédiaires,2060,6860682,25.5,26,,
Employés,2536,7323266,31.4,27.7,,
Ouvriers,1313,5253298,16.2,19.9,,
Total,8082,26417293,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire, lieu de travail - 2017",,,,,,
,,,,,,
,,,,,,
Logements par catégorie,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mandelieu-la-Napoule,France,Mandelieu-la-Napoule,France,,
Résidences principales,11339,29479746,53.4,82.2,,
Résid. secondaires et log. occasionnels,8694,3464523,40.9,9.7,,
Logements vacants,1201,2935447,5.7,8.2,,
Total,21234,35879716,100,100,,
,,,,,,
"Source : Insee, séries historiques du RP, exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Logements selon leurs types,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mandelieu-la-Napoule,France,Mandelieu-la-Napoule,France,,
Maisons,3443,19988574,16.2,55.7,,
Appartements,17698,15520592,83.3,43.3,,
Autres logements,94,370550,0.4,1,,
Total,21235,35879716,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
