Nombre d'établissements au 31 décembre 2018 par secteur d'activité,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Nantes Métropole,France,Nantes Métropole,France,,
Activité et emploi de la population de 15 à 64 ans par âge,,,,,,
,,,,,,
Catégories,Population,Actifs,Taux d'activité (%),Actifs en emploi,Taux d'emploi (%),
Ensemble,817,617,75.6,504,61.7,
15 à 24 ans,96,52,54.3,28,29.3,
25 à 54 ans,479,433,90.3,363,75.6,
55 à 64 ans,241,132,54.8,113,46.8,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des FEMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Théoule-sur-Mer,France,,,,
Salariées,192,11694309,,,,
- Titulaires de la fonction publique et CDI,155,9808156,,,,
- Contrat à durée déterminée,31,1331322,,,,
- Intérim,1,146036,,,,
- Emplois aidés,0,151061,,,,
- Apprentissage - Stage,5,257733,,,,
Non salariées,46,1282989,,,,
- Indépendants,34,860182,,,,
- Employeurs,11,391365,,,,
- Aides familiaux,0,31442,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des HOMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Théoule-sur-Mer,France,,,,
Salariés,209,11636014,,,,
- Titulaires de la fonction publique et CDI,184,9885223,,,,
- Contrat à durée déterminée,22,946141,,,,
- Intérim,1,347047,,,,
- Emplois aidés,0,86092,,,,
- Apprentissage - Stage,2,371511,,,,
Non salariés,80,2231297,,,,
- Indépendants,50,1189241,,,,
- Employeurs,29,1025072,,,,
- Aides familiaux,1,16984,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Chômage (au sens du recensement) des 15-64 ans,,,,,,
,,,,,,
Indicateurs,Théoule-sur-Mer,France,,,,
Nombre de chômeurs,114,4265005,,,,
Taux de chômage (%),18.4,13.9,,,,
Taux de chômage des femmes (%),19.5,14.6,,,,
Taux de chômage des hommes (%),17.4,13.2,,,,
Part de femmes parmi les chômeurs (%),49.6,51.2,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Taux de chômage (au sens du recensement) par sexe et âge,,,,,,
,,,,,,
Catégories,Taux de chômage des femmes (%),,Taux de chômage des hommes (%),,,
,Théoule-sur-Mer,France,Théoule-sur-Mer,France,,
Ensemble,19.5,14.6,17.4,13.2,,
15 à 24 ans,54.5,28.9,39.3,28.2,,
25 à 54 ans,17.4,13.4,15.1,11.4,,
55 à 64 ans,13.2,11.3,15.7,11.1,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Emplois par catégorie socioprofessionnelle,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Théoule-sur-Mer,France,Théoule-sur-Mer,France,,
Agriculteurs exploitants,5,423263,0.9,1.6,,
Artisans. commerçants et chefs d'entreprise,77,1779591,13.1,6.7,,
Cadres et professions intellectuelles supérieures,66,4777193,11.2,18.1,,
Professions intermédiaires,100,6860682,17,26,,
Employés,226,7323266,38.5,27.7,,
Ouvriers,113,5253298,19.3,19.9,,
Total,587,26417293,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire, lieu de travail - 2017",,,,,,
,,,,,,
,,,,,,
Logements par catégorie,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Théoule-sur-Mer,France,Théoule-sur-Mer,France,,
Résidences principales,694,29479746,20.8,82.2,,
Résid. secondaires et log. occasionnels,2564,3464523,76.9,9.7,,
Logements vacants,77,2935447,2.3,8.2,,
Total,3335,35879716,100,100,,
,,,,,,
"Source : Insee, séries historiques du RP, exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Logements selon leurs types,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Théoule-sur-Mer,France,Théoule-sur-Mer,France,,
Maisons,1046,19988574,31.4,55.7,,
Appartements,2271,15520592,68.1,43.3,,
Autres logements,19,370550,0.6,1,,
Total,3336,35879716,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
